fico,dt_first_pi,flag_fthb,dt_matr,cd_msa,mi_pct,cnt_units,occpy_sts,cltv,dti,orig_upb,ltv,orig_int_rt,channel,ppmt_pnlty,amrtzn_type,st,prop_type,zipcode,id_loan,loan_purpose,orig_loan_term,cnt_borr,seller_name,servicer_name,flag_sc,id_loan_preharp,ind_afdl,ind_harp,cd_ppty_val_type,flag_int_only
734,202003,N,204002,16984,000,2,I,46,32,80000,46,4.875,R,N,FRM,IL,SF,60600,F20Q10000084,C,240,02,Other sellers,Other servicers,,,9,,2,N
660,202003,N,205002,31460,000,1,P,44,48,270000,44,3.375,R,N,FRM,CA,SF,93600,F20Q10000085,N,360,01,Other sellers,Other servicers,,,9,,2,N
759,202003,N,205002,,000,1,P,36,8,245000,36,3.75,R,N,FRM,WI,SF,53100,F20Q10000086,N,360,02,Other sellers,Other servicers,,,9,,2,N
811,202003,N,203502,36540,12,1,P,88,27,138000,88,3.125,R,N,FRM,NE,SF,68100,F20Q10000087,N,180,01,Other sellers,Other servicers,,,9,,2,N
750,202003,Y,205002,45820,30,1,P,94,15,189000,94,3.625,R,N,FRM,KS,SF,66600,F20Q10000088,P,360,02,Other sellers,Other servicers,,,9,,2,N
805,202003,N,203502,,000,1,P,74,12,339000,74,3,R,N,FRM,IA,SF,52100,F20Q10000089,N,180,02,Other sellers,Other servicers,,,9,,2,N
752,202003,N,203502,19780,000,1,I,57,31,82000,57,4.125,R,N,FRM,IA,SF,50300,F20Q10000090,C,180,02,Other sellers,Other servicers,,,9,,2,N
805,202003,N,203502,36980,000,1,P,71,29,183000,71,3.25,R,N,FRM,KY,SF,42300,F20Q10000091,P,180,01,Other sellers,Other servicers,,,9,,2,N
780,202003,N,204502,30460,000,1,P,71,35,315000,71,3.75,R,N,FRM,KY,SF,40300,F20Q10000093,C,300,02,Other sellers,Other servicers,,,9,,2,N
739,202004,N,203503,24220,000,1,P,59,50,279000,59,2.625,R,N,FRM,ND,SF,58200,F20Q10000094,N,180,02,Other sellers,Other servicers,,,9,,2,N
674,202003,N,203502,36420,000,1,P,75,29,139000,75,3.5,R,N,FRM,OK,SF,73000,F20Q10000095,C,180,02,Other sellers,Other servicers,,,9,,2,N
820,202003,N,204002,11180,000,1,S,80,40,238000,80,3.625,R,N,FRM,IA,SF,50000,F20Q10000096,P,240,01,Other sellers,Other servicers,,,9,,2,N
777,202003,N,203502,,000,1,P,45,27,56000,45,3.5,R,N,FRM,IA,SF,50500,F20Q10000097,C,180,01,Other sellers,Other servicers,,,9,,2,N
708,202003,N,205002,12060,30,1,P,95,23,285000,95,3.75,R,N,FRM,GA,SF,30200,F20Q10000098,N,360,02,Other sellers,PHH MORTGAGE CORPORATION,,,9,,2,N
781,202003,N,205002,47664,000,1,P,80,28,292000,80,3.875,R,N,FRM,MI,SF,48000,F20Q10000099,N,360,02,Other sellers,Other servicers,,,9,,2,N
738,202003,N,205002,38900,000,1,P,66,45,223000,66,3.75,R,N,FRM,OR,SF,97200,F20Q10000100,N,360,01,Other sellers,Other servicers,,,9,,1,N
694,202003,N,205002,15940,25,1,P,88,40,122000,88,4,R,N,FRM,OH,SF,44600,F20Q10000101,N,360,01,Other sellers,Other servicers,,,9,,2,N
722,202003,N,205002,14540,000,1,P,80,42,250000,80,3.75,R,N,FRM,KY,SF,42100,F20Q10000102,N,360,02,Other sellers,Other servicers,,,9,,1,N
797,202003,N,203502,49660,000,1,P,80,12,240000,80,3.75,R,N,FRM,OH,PU,44400,F20Q10000103,P,180,02,Other sellers,Other servicers,,,9,,2,N
725,202003,Y,204502,,000,1,P,80,31,120000,80,3.75,R,N,FRM,PA,MH,16800,F20Q10000104,P,300,02,Other sellers,Other servicers,,,9,,2,N
795,202003,N,205002,20260,000,1,P,80,25,303000,80,3.625,R,N,FRM,MN,SF,55800,F20Q10000105,N,360,02,Other sellers,Other servicers,,,9,,2,N
725,202004,N,205003,41180,000,1,P,80,40,450000,80,3.75,C,N,FRM,MO,PU,63000,F20Q10000106,N,360,01,Other sellers,U.S. BANK N.A.,,,9,,2,N
725,202003,N,204002,38860,000,1,P,59,28,156000,59,3.625,R,N,FRM,ME,SF,04000,F20Q10000107,N,240,01,Other sellers,Other servicers,,,9,,2,N
672,202003,Y,203502,,000,1,P,80,23,40000,80,2.875,R,N,FRM,ME,SF,04200,F20Q10000109,P,180,01,Other sellers,Other servicers,,,9,,2,N
657,202003,N,205002,36980,000,1,P,82,22,206000,65,4.375,R,N,FRM,KY,SF,42300,F20Q10000110,N,360,02,Other sellers,Other servicers,,,9,,2,N
793,202003,N,205002,48140,30,1,P,95,32,201000,95,3.75,R,N,FRM,WI,SF,54400,F20Q10000111,P,360,01,Other sellers,Other servicers,,,9,,2,N
